set	status	total_count	n_rows_returned
TipoRateioProfissionalViews	200	0	0
TipoServicoViews	200	0	0
TipoRelatorioViews	200	0	0
TSMonitorDesbloqueioViews	200	0	0
TipoRemuneracaoViews	200	0	0
RevisaoTimesheetGridViews	ERR	HTTPSConnectionPool(host='legaldesk.mbclaw.com.br', port=443): Read timed out. (read timeout=60)	0
TratamentoViews	200	0	0
IdiomaTipoDespesaViews	200	68	1
TribunalViews	200	180	1
IdiomaServicoViews	200	0	0
UnidadeMedidaViews	200	4	1
UsuarioPerfilViews	200	197	1
PerfilViews	200	24	1
AcessoLogViews	200	284821	1
UsuarioViews	200	64	1
FluxoAcaoDinamicaViews	500	{
  "result": {
    "error": true,
    "type": "general",
    "message": "ORA-00942: table or view does not exist",	0
PesoProfissionalViews	200	0	0
PaisViews	200	8	1
CidadeViews	200	13245	1
PalavraChaveViews	200	0	0
ModeloTelaViews	200	337	1
EstadoViews	200	32	1
PessoaViews	200	845	1
CheckinViews	200	0	0
TabelaPadraoViews	500	{
  "result": {
    "error": true,
    "type": "general",
    "message": "ORA-00942: table or view does not exist",	0
TabelaPadraoHistoricoViews	200	3	1
RevisaoTimesheetPorCasoViews	ERR	HTTPSConnectionPool(host='legaldesk.mbclaw.com.br', port=443): Read timed out. (read timeout=60)	0
TabeladoViews	200	0	0
PessoaEnderecoViews	200	303	1
PesquisaPerfilViews	200	0	0
PesquisaCamposViews	200	0	0
PesquisaViews	200	0	0
CorrespondenteViews	200	1	1
CasoParticipacaoViews	200	21	1
CorrespondenteAdvogadoViews	200	1	1
CompromissoResponsavelViews	200	1	1
DecisaoViews	200	0	0
NaturezaViews	200	5	1
TipoEnvolvimentoViews	200	3	1
SaldoFaturaViews	ERR	HTTPSConnectionPool(host='legaldesk.mbclaw.com.br', port=443): Read timed out. (read timeout=60)	0
RateioFixoCasoViews	200	0	0
TipoAcaoViews	200	161	1
TSFavoritoViews	200	0	0
TimesheetGridViews	200	0	0
TimesheetVinculadoViews	200	952	1
TimesheetViews	200	0	0
TimesheetRevisaoViews	200	55603	1
TSClienteViews	200	147	1
TSCasoViews	200	542	1
TSProfissionalViews	200	69	1
TSTipoAtividadeViews	200	24	1
TSIdiomaTipoAtividadeViews	200	48	1
TSUsuarioViews	200	64	1
TSTabeladoViews	200	0	0
TSEbillingAtividadeViews	200	0	0
TipoAtividadeTipoAtividadeEbillingViews	200	0	0
TSSolicitacaoDespesaViews	200	0	0
TSCompromissoResponsavelViews	200	1	1
TSEbillingTarefaViews	200	0	0
CategoriaCompromissoViews	200	0	0
CategoriaViews	200	12	1
CategoriaRhViews	200	0	0
CasoParcelasViews	200	1628	1
AdiantamentoDespesaViews	200	0	0
AdiantamentoViews	200	157	1
AnexoViews	200	0	0
CasoFaturamentoViews	200	542	1
FilaImpressaoViews	200	0	0
JuizViews	200	0	0
ManageableProfissionalViews	200	0	0
AssuntoVinculoViews	200	0	0
JuncaoAlocacaoCasoViews	200	0	0
JuncaoAlocacaoViews	200	0	0
ManageableAgendaProfissionalViews	200	0	0
CondicaoPagamentoViews	200	5	1
ContaViews	200	0	0
PreFaturaCasoFavoritoViews	200	0	0
PreFaturaClienteFavoritoViews	200	0	0
BusinessPlanViews	200	0	0
LancamentoViews	200	0	0
LancamentoFinanceiroViews	200	71614	1
LancamentoEstornoProjetoViews	200	0	0
MetaReceitaViews	200	36	1
OrcamentoViews	200	551	1
CustoProfissionalViews	200	0	0
TributoViews	200	108	1
CustoCategoriaViews	200	0	0
BusinessPlanProfissionalViews	200	0	0
EmpresaViews	200	1	1
RelatorioModeloPerfilViews	200	1	1
RelatorioModeloViewModelViews	200	1	1
PrepostoViews	200	0	0
RelatorioModeloViewModelConfigViews	200	0	0
AcessoEscritorioViews	200	0	0
RelatorioModeloViews	200	1	1
HonorarioViews	200	62	1
HonorarioHistoricoViews	200	4268	1
JuroViews	200	3	1
FilaEtiquetaViews	200	0	0
HonorarioCategoriaHistoricoViews	200	27943	1
RateioProfissionalViews	200	0	0
SolicitacaoPastaFisicaViews	200	0	0
TSClienteFavoritoViews	200	0	0
AcessoEscritorioProfissionalViews	200	0	0
PFLacunaViews	200	0	0
