name	method	return_type	entity_set	n_params	params
BatchDelete	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultImportacaoPublicacaoItemView), situacao:Edm.String
AlterarSituacao	GET			1	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultImportacaoPublicacaoItemView)
GetSummary	GET			1	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultImportacaoPublicacaoItemView)
ClassificarPublicacao	GET			1	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultImportacaoPublicacaoItemView)
BaixaPublicacoes	GET			1	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultImportacaoPublicacaoItemView)
Totais	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultMovimentacaoFinanceiraView), assuntoId:Edm.String
InsertFilteredIntoQueue	GET			1	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultMovimentacaoFinanceiraGridView)
MarcarComoLido	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultNotificacaoGridView), ids:Edm.String
MarcarComoNaoLido	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultNotificacaoGridView), ids:Edm.String
MarcarComoExcluido	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultNotificacaoGridView), ids:Edm.String
DevolucaoLote	GET			4	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultPastaFisicaView), dados:Edm.String, dataDevolucao:Edm.DateTimeOffset, usuarioId:Edm.String
EmprestarLote	GET			5	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultPastaFisicaView), dados:Edm.String, profissionalId:Edm.String, usuarioId:Edm.String, dataEmprestimo:Edm.DateTimeOffset
